('has been classified as ', 'love', 'and should be ', 'b')
('has been classified as ', 'love', 'and should be ', 'b')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'love', 'and should be ', 'c')
('has been classified as ', 'love', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'love', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'love', 'and should be ', 'c')
('has been classified as ', 'love', 'and should be ', 'c')
('has been classified as ', 'a', 'and should be ', 'c')
('has been classified as ', 'a', 'and should be ', 'i')
('has been classified as ', 'a', 'and should be ', 'i')
('has been classified as ', 'a', 'and should be ', 'i')
('has been classified as ', 'a', 'and should be ', 'i')
('has been classified as ', 'a', 'and should be ', 'you')
('has been classified as ', 'a', 'and should be ', 'you')
('has been classified as ', 'a', 'and should be ', 'you')
('has been classified as ', 'a', 'and should be ', 'you')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'o', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'i', 'and should be ', 'c')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'you', 'and should be ', 'i')
('has been classified as ', 'you', 'and should be ', 'i')
('has been classified as ', 'you', 'and should be ', 'i')
('has been classified as ', 'you', 'and should be ', 'i')
('has been classified as ', 'you', 'and should be ', 'i')
('has been classified as ', 'you', 'and should be ', 'i')
('has been classified as ', 'you', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
('has been classified as ', 'c', 'and should be ', 'i')
